indicativo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
1208,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,43.538888888888884,-5.637499999999999
1210X,0.0,48.05217391304348,83.7,28.6,70.9,47.8,57.9,86.9,88.0,66.4,7.9,14.6,31.8,64.6,0.0,31.1,96.9,22.900000000000002,35.5,72.2,27.0,38.5,104.3,27.7,43.655833333333334,-5.8486111111111105
1212E,174.8,69.6,88.3,35.5,66.0,107.4,75.4,110.69999999999999,145.79999999999998,91.6,24.1,25.5,208.4,150.2,51.2,72.6,94.2,47.5,52.1,93.1,38.300000000000004,37.0,136.4,35.9,43.566944444444445,-6.0441666666666665
1221D,224.2,39.5,88.7,197.4,129.3,107.6,88.3,31.4,165.9,125.5,74.3,155.9,305.8,129.4,160.20000000000002,126.7,5.6000000000000005,38.5,136.0,42.5,257.6,120.89999999999999,166.0,37.7,42.978611111111114,-5.776388888888889
1249I,165.1,70.7,101.0,43.7,97.19999999999999,111.5,70.9,111.4,89.7,94.4,24.7,50.2,218.0,197.1,113.7,110.7,89.0,25.1,97.9,79.1,89.1,74.5,115.7,97.40869565217392,43.35333333333333,-5.874166666666667
1283U,149.79999999999998,39.0,15.200000000000001,37.8,30.200000000000003,26.9,43.1,94.6,0.0,50.57727272727272,50.57727272727272,14.600000000000001,117.8,77.4,38.0,62.6,92.2,7.2,65.8,67.2,7.6,38.0,71.7,16.0,43.56916666666667,-6.47
1351,107.6,58.8,16.8,45.7,22.8,53.2,68.5,49.099999999999994,140.6,48.4,26.0,0.0,78.8,79.60000000000001,26.8,57.4,87.4,15.4,56.8,92.2,28.999999999999996,38.8,37.800000000000004,17.2,43.78611111111111,-7.6850000000000005
1387,207.0,90.80000000000001,61.7,107.5,53.699999999999996,100.8,78.8,58.6,173.3,74.5,42.1,71.3,154.8,92.4,43.4,68.0,122.4,15.399999999999999,82.0,112.2,73.8,85.3,40.4,33.4,43.365833333333335,-8.421388888888888
1387E,236.5,100.6,78.7,134.7,66.1,99.4,65.30000000000001,48.5,166.4,78.1,59.4,62.4,171.1,88.6,50.2,0.0,121.5,14.7,83.2,113.3,69.6,91.2,45.599999999999994,34.0,43.30694444444444,-8.371944444444445
1393,194.8,14.2,83.10000000000001,143.3,69.4,0.0,60.2,15.1,170.1,93.3,54.0,46.8,93.2,92.0,83.1,113.0,171.1,9.2,99.7,100.8,118.2,14.100000000000001,54.2,43.699999999999996,43.160555555555554,-9.210833333333333
