indicativo,latitud,longitud,zone
7247X,382359N,010217W,1
7275C,383606N,010935W,1
8019,381658N,003415W,1
8025,382221N,002939W,1
8050X,384701N,001004E,1
8058X,385544N,000545W,1
8096,400402N,020755W,1
8175,385715N,015123W,1
8177A,385609N,013936W,1
8178D,390021N,015146W,1
8293X,390006N,003125W,1
8309X,393432N,011441W,1
8325X,391105N,002219W,1
8368U,402102N,010727W,1
8414A,392906N,002829W,1
8416,392850N,002159W,1
8416Y,392850N,002159W,1
8489X,402600N,001521W,1
8500A,395726N,000419W,1
8501,395921N,000156W,1
8523X,403315N,002547E,1
9001D,425931N,040938W,1
9019B,424823N,035602W,1
9051,425512N,032858W,1
9087,425059N,023922W,1
9091O,425255N,024406W,1
9091R,425219N,024358W,1
9111,422516N,031013W,1
9170,422708N,021952W,1
9201K,423444N,003249W,1
9208E,424232N,004023W,1
9244X,422927N,011249W,1
9262,424904N,013818W,1
9263D,424637N,013900W,1
9263X,424634N,013157W,1
9283X,421225N,014241W,1
9294E,421155N,012831W,1
9381,405154N,011818W,1
9381I,405534N,011736W,1
9390,410652N,012436W,1
9394X,411952N,013843W,1
9434,413938N,010015W,1
9434P,413715N,005606W,1
9563X,402955N,001112W,1
9569A,405648N,001416W,1
9573X,410329N,000830W,1
9576C,413121N,001028W,1
9585,421957N,015622E,1
9619,422117N,012747E,1
9698U,421219N,005155E,1
9720X,413902N,010858E,1
9771,413702N,003716E,1
9771C,413734N,003553E,1
9784P,423748N,001329E,1
9814A,423736N,000642W,1
9898,420504N,001932W,1
9981A,404913N,002936E,1
9987P,404157N,004836E,1
9990X,424201N,005237E,1
B013X,394924N,025309E,1
B228,393319N,023731E,1
B248,394406N,024247E,1
B278,393339N,024412E,1
B346X,393118N,030109E,1
B434X,392452N,031618E,1
B569X,394300N,032841E,1
B691Y,394457N,030100E,1
B893,395117N,041256E,1
B954,385235N,012304E,1
C029O,285707N,133601W,2
C129Z,283545N,175455W,2
C139E,283759N,174518W,2
C229J,280257N,142129W,2
C249I,282641N,135147W,2
C329Z,280523N,170641W,2
C429I,280249N,163340W,2
C430E,281832N,162958W,2
C439J,281906N,162256W,2
C447A,282839N,161946W,2
C449C,282748N,161519W,2
C459Z,282505N,163253W,2
C619I,280003N,154850W,2
C629X,274859N,154551W,2
C649I,275504N,152343W,2
C659H,280523N,152458W,2
C659M,280647N,152517W,2
C689E,274409N,153545W,2
C839I,291355N,133007W,2
C929I,274908N,175320W,2
